ID,Category,Sub Category,Tag
293,sexual violence and sexual threat,sexual threat,invasion of personal space
294,sexual violence and sexual threat,sexual threat,coerced to strip
295,sexual violence and sexual threat,sexual threat,coerced to perform sexual favours
296,sexual violence and sexual threat,sexual threat,sexual coercion
297,sexual violence and sexual threat,child sexual abuse,
298,sexual violence and sexual threat,child sexual abuse,references to grooming
299,sexual violence and sexual threat,child sexual abuse,images of child abuse (simulated non poca)
300,sexual violence and sexual threat,child sexual abuse,paedophile
301,sexual violence and sexual threat,sexualised violence,
302,sexual violence and sexual threat,sexualised violence,genital mutilation
303,sexual violence and sexual threat,sexualised violence,breast mutilation
304,sexual violence and sexual threat,sexualised violence,gun in mouth
305,sexual violence and sexual threat,sexualised violence,weapon toyed down body
306,sexual violence and sexual threat,sexualised violence,castrate
307,dangerous behaviour,,
308,dangerous behaviour,dangerous behaviour,
309,dangerous behaviour,dangerous behaviour,child
310,dangerous behaviour,dangerous behaviour,fridge
311,dangerous behaviour,dangerous behaviour,washing machine
312,dangerous behaviour,dangerous behaviour,tumble dryer
313,dangerous behaviour,dangerous behaviour,electricity
314,dangerous behaviour,dangerous behaviour,water
315,dangerous behaviour,dangerous behaviour,train tracks
316,dangerous behaviour,dangerous behaviour,oven
317,dangerous behaviour,dangerous behaviour,play
318,dangerous behaviour,dangerous behaviour,fireworks
319,dangerous behaviour,dangerous behaviour,criminal behaviour
320,dangerous behaviour,dangerous behaviour,picking locks
321,dangerous behaviour,dangerous behaviour,bomb
322,dangerous behaviour,dangerous behaviour,wires
323,dangerous behaviour,dangerous behaviour,anti social behaviour
324,dangerous behaviour,dangerous behaviour,graffiti
325,dangerous behaviour,dangerous behaviour,spitting
326,dangerous behaviour,self-harm,
327,dangerous behaviour,self-harm,cut
328,dangerous behaviour,self-harm,burn
329,dangerous behaviour,self-harm,hit
330,dangerous behaviour,self-harm,hair pulling
331,dangerous behaviour,self-harm,scratch
332,dangerous behaviour,self-harm,skin
333,dangerous behaviour,self-harm,razor
334,dangerous behaviour,self-harm,glass
335,dangerous behaviour,self-harm,horizontal
336,dangerous behaviour,self-harm,vertical
337,dangerous behaviour,self-harm,arm
338,dangerous behaviour,self-harm,leg
339,dangerous behaviour,self-harm,teenager
340,dangerous behaviour,self-harm,adult
341,dangerous behaviour,self-harm,anorexia
342,dangerous behaviour,self-harm,bulimia
343,dangerous behaviour,self-harm,vomit
344,dangerous behaviour,suicide,
345,dangerous behaviour,suicide,hanging
346,dangerous behaviour,suicide,noose preparation
347,dangerous behaviour,suicide,noose around head
348,dangerous behaviour,suicide,rope
349,dangerous behaviour,suicide,dangling legs
350,dangerous behaviour,suicide,body drops
351,dangerous behaviour,suicide,body spasms
352,dangerous behaviour,suicide,choking
353,dangerous behaviour,suicide,emphasis on pain or suffering
354,dangerous behaviour,suicide,belt
355,dangerous behaviour,suicide,horizontal wrist cut
356,dangerous behaviour,suicide,vertical wrist cut
357,dangerous behaviour,suicide,drug overdose
358,dangerous behaviour,suicide,unconscious
359,dangerous behaviour,suicide,vomit
360,dangerous behaviour,suicide,asphyxiation
361,dangerous behaviour,suicide,bag over head
362,dangerous behaviour,suicide,helium
363,dangerous behaviour,suicide,barbecue
364,dangerous behaviour,suicide,carbon monoxide inhalation
365,dangerous behaviour,suicide,gunshot to head
366,dangerous behaviour,suicide,jumps to death
367,qualifier,,
368,qualifier,very mild,
369,qualifier,mild,
370,qualifier,moderate,
371,qualifier,strong,
372,qualifier,very strong,
373,descriptor,,
374,descriptor,impressionistic,
375,descriptor,masked,
376,descriptor,glamorised,
377,descriptor,promotional,
378,descriptor,endorsed,
379,descriptor,graphic,
380,descriptor,gratuitous,
381,descriptor,emphasis,
382,descriptor,brief,
383,descriptor,comic,
384,descriptor,fantastical,
385,descriptor,historical,
386,descriptor,narrative justification,
387,descriptor,discreet,
388,descriptor,prolonged,
389,descriptor,sustained,
390,descriptor,animated,
391,descriptor,wholly unrealistic,
392,descriptor,occasional,
393,descriptor,infrequent,
394,descriptor,clearly disapproved of,
395,descriptor,intense,
396,descriptor,aggressive,
397,descriptor,directed,
398,descriptor,disturbing,
399,descriptor,dwell on detail,
400,descriptor,romanticised,
